Date,Open,High,Low,Close,Adj Close,Volume
1962/1/2,0.837449,0.837449,0.823045,0.823045,0.201434,352200
1962/1/3,0.835391,0.851852,0.835391,0.839506,0.205463,710400
1962/1/4,0.839506,0.853909,0.831276,0.831276,0.203449,911000
1962/1/5,0.831276,0.835391,0.792181,0.814815,0.19942,880400
1962/1/8,0.814815,0.829218,0.804527,0.816872,0.199924,473600
1962/1/9,0.816872,0.837449,0.8107,0.81893,0.200427,576800
1962/1/10,0.81893,0.833333,0.816872,0.81893,0.200427,352200
1962/1/11,0.820988,0.845679,0.820988,0.82716,0.202441,692400
1962/1/12,0.835391,0.855967,0.835391,0.849794,0.207981,972000
1962/1/15,0.845679,0.845679,0.829218,0.833333,0.203952,625400
1962/1/16,0.833333,0.837449,0.82716,0.82716,0.202441,376400
1962/1/17,0.82716,0.845679,0.82716,0.829218,0.202945,674000
1962/1/18,0.829218,0.841564,0.829218,0.833333,0.203952,710400
1962/1/19,0.835391,0.872428,0.835391,0.872428,0.21352,1293600
1962/1/22,0.872428,0.878601,0.860082,0.87037,0.213017,1147800
1962/1/23,0.86214,0.872428,0.860082,0.872428,0.21352,923400
1962/1/24,0.872428,0.876543,0.860082,0.876543,0.214527,1020600
1962/1/25,0.876543,0.901235,0.876543,0.897119,0.219563,2897400
1962/1/26,0.897119,0.903292,0.886831,0.893004,0.218556,1919600
1962/1/29,0.893004,0.899177,0.884774,0.897119,0.219563,941400
1962/1/30,0.897119,0.911523,0.893004,0.90535,0.221578,1749600
1962/1/31,0.907407,0.925926,0.907407,0.923868,0.22611,3383400
1962/2/1,0.923868,0.932099,-1.1,0.903292,0.221074,1968200
1962/2/2,0.903292,0.911523,0.884774,0.911523,0.223088,1105400
1962/2/5,0.909465,0.909465,0.893004,0.895062,0.221056,892800
1962/2/6,0.895062,0.897119,0.872428,0.895062,0.221056,801800
1962/2/7,0.895062,0.911523,0.888889,0.895062,0.221056,844200
1962/2/8,0.897119,0.911523,0.897119,0.897119,0.221564,656000
1962/2/9,0.899177,0.91358,0.899177,0.91358,0.225629,680400
1962/2/12,0.90535,0.90535,0.895062,0.899177,0.222072,510200
1962/2/13,0.903292,0.917695,0.903292,0.90535,0.223596,656000
1962/2/14,0.90535,0.915638,0.903292,0.911523,0.225121,540200
1962/2/15,0.91358,0.925926,0.91358,0.917695,0.226645,917000
1962/2/16,0.917695,0.921811,0.907407,0.907407,0.224105,510200
1962/2/19,0.907407,0.915638,0.899177,0.903292,0.223088,619400
1962/2/20,0.903292,0.915638,0.899177,0.899177,0.222072,479600
1962/2/21,0.899177,0.903292,0.882716,0.888889,0.219531,400800
1962/2/23,0.878601,0.878601,0.843621,0.860082,0.212417,1160000
1962/2/26,0.860082,0.874486,0.849794,0.864198,0.213433,680400
1962/2/27,0.864198,0.888889,0.858025,0.874486,0.215974,668000
1962/2/28,0.874486,0.882716,0.874486,0.882716,0.218007,303600
1962/3/1,0.882716,0.888889,0.853909,0.872428,0.215466,722600
1962/3/2,0.872428,0.880658,0.858025,0.864198,0.213433,583200
1962/3/5,0.86214,0.86214,0.849794,0.86214,0.212925,418800
1962/3/6,0.860082,0.860082,0.831276,0.833333,0.205811,868400
1962/3/7,0.833333,0.843621,0.831276,0.831276,0.205302,625400
1962/3/8,0.831276,0.855967,0.831276,0.847737,0.209368,595200
1962/3/9,0.847737,0.858025,0.841564,0.843621,0.208351,279200
1962/3/12,0.845679,0.853909,0.845679,0.849794,0.209876,218600
1962/3/13,0.849794,0.849794,0.839506,0.847737,0.209368,291600
1962/3/14,0.847737,0.86214,0.843621,0.847737,0.209368,583200
1962/3/15,0.847737,0.855967,0.835391,0.835391,0.206319,370200
1962/3/16,0.835391,0.847737,0.831276,0.833333,0.205811,327800
1962/3/19,0.833333,0.835391,0.816872,0.81893,0.202253,649800
1962/3/20,0.81893,0.82716,0.816872,0.816872,0.201745,588800
1962/3/21,0.816872,0.820988,0.816872,0.816872,0.201745,528200
1962/3/22,0.816872,0.833333,0.816872,0.829218,0.204794,340200
1962/3/23,0.829218,0.835391,0.82716,0.829218,0.204794,406800
1962/3/26,0.829218,0.833333,0.82716,0.82716,0.204286,273000
1962/3/27,0.82716,0.839506,0.825103,0.833333,0.205811,309600
1962/3/28,0.833333,0.837449,0.833333,0.835391,0.206319,230600
1962/3/29,0.837449,0.845679,0.837449,0.839506,0.207335,370200
1962/3/30,0.839506,0,0.825103,0.825103,0.203778,297200
1962/4/2,0.825103,0.833333,0.816872,0.82716,0.204286,388800
1962/4/3,0.823045,0.823045,0.792181,0.8107,0.200221,686000
1962/4/4,0.8107,0.8107,0.788066,0.790123,0.195139,406800
1962/4/5,0.790123,0.798354,0.76749,0.798354,0.197172,601200
1962/4/6,0.798354,0.806584,0.792181,0.792181,0.195647,333800
1962/4/9,0.792181,0.804527,0.777778,0.777778,0.19209,303600
1962/4/10,0.777778,,0.773663,0.773663,0.191073,291600
1962/4/11,0.786008,0.802469,0.786008,0.796296,0.196663,145800
