,date,open,close,high,low,buyAmt,sellAmt,buyAP,sellAP
0,2018-09-20 19:18:01,6414.04000000,6414.90000000,6414.90000000,6414.03000000,2.3045,0.9917,6414.467236,6414.041495
1,2018-09-20 19:19:01,6416.12000000,6413.47000000,6417.31000000,6409.93000000,0.7879,4.5215,6415.505565,6413.828888
2,2018-09-20 19:20:01,6413.47000000,6413.04000000,6413.47000000,6410.11000000,4.5468,7.4142,6411.593857,6411.472799
3,2018-09-20 19:21:01,6413.07000000,6416.95000000,6416.95000000,6412.42000000,13.960741,3.2971,6414.799482,6414.369188
4,2018-09-20 19:22:00,6416.95000000,6419.65000000,6422.64000000,6415.78000000,13.3989,5.1701,6417.287173,6417.410516
5,2018-09-20 19:23:00,6419.65000000,6422.83000000,6423.01000000,6416.78000000,2.9906,2.2065,6420.693351,6419.531033
6,2018-09-20 19:24:00,6422.83000000,6426.92000000,6428.45000000,6420.75000000,6.3861,2.8351,6424.927197,6425.584681
7,2018-09-20 19:25:01,6426.91000000,6421.55000000,6426.92000000,6420.69000000,1.9085,6.3755,6421.713108,6421.942016
8,2018-09-20 19:26:00,6421.55000000,6423.75000000,6427.42000000,6420.39000000,9.0966,1.5584,6422.31863,6423.632949
9,2018-09-20 19:27:01,6423.75000000,6422.14000000,6428.30000000,6422.10000000,2.429426,5.8431,6425.76796,6424.065741
10,2018-09-20 19:28:00,6422.14000000,6421.64000000,6423.70000000,6420.99000000,7.9792,2.6521,6423.508774,6421.866801
11,2018-09-20 19:29:01,6423.34000000,6416.80000000,6423.71000000,6416.18000000,4.9829,7.6293,6422.341035,6422.244359
12,2018-09-20 19:30:01,6416.80000000,6416.89000000,6421.21000000,6415.84000000,8.1665,4.5206,6418.850949,6418.154886
13,2018-09-20 19:31:00,6416.88000000,6416.83000000,6417.08000000,6416.83000000,5.1059,1.176,6416.935649,6416.874638
14,2018-09-20 19:32:00,6416.83000000,6415.04000000,6416.91000000,6414.96000000,1.1905,3.3849,6415.954528,6416.105293
15,2018-09-20 19:33:00,6415.67000000,6417.84000000,6417.85000000,6415.07000000,1.4987,2.2267,6416.420201,6417.623705
16,2018-09-20 19:34:01,6417.84000000,6420.65000000,6420.69000000,6417.38000000,4.2046,0.3927,6418.873563,6417.567145
17,2018-09-20 19:35:00,6420.63000000,6420.92000000,6422.29000000,6419.85000000,5.77819,1.1966,6421.361364,6420.309026
18,2018-09-20 19:36:01,6420.92000000,6424.86000000,6426.00000000,6420.92000000,9.978665,5.1767,6424.18656,6423.118598
19,2018-09-20 19:37:00,6424.07000000,6422.66000000,6424.84000000,6422.66000000,3.492799,9.2728,6424.544573,6424.16306
20,2018-09-20 19:38:00,6422.66000000,6420.00000000,6424.47000000,6420.00000000,4.891103,2.8934,6422.784606,6421.165532
